year,make,model,trim,days_to_sell
2012,"Land Rover","Range Rover Sport",HSE,10
2012,"Land Rover","Range Rover Sport",HSE,14
2012,"Land Rover","Range Rover Sport",HSE,15
2012,"Land Rover","Range Rover Sport",HSE,18
2012,"Land Rover","Range Rover Sport",HSE,21
2012,"Land Rover","Range Rover Sport",HSE,28
2012,"Land Rover","Range Rover Sport",HSE,30
2012,"Land Rover","Range Rover Sport",HSE,32
2012,"Land Rover","Range Rover Sport",HSE,50
2012,"Land Rover","Range Rover Sport",HSE,54
2012,"Land Rover","Range Rover Sport",HSE,66
2012,"Land Rover","Range Rover Sport",HSE,68
2012,"Land Rover","Range Rover Sport",HSE,71
2012,"Land Rover","Range Rover Sport",HSE,82
2012,"Land Rover","Range Rover Sport",HST,10
2012,"Land Rover","Range Rover Sport",HST,12
2012,"Land Rover","Range Rover Sport",HST,14
2012,"Land Rover","Range Rover Sport",HST,33
2012,"Land Rover","Range Rover Sport",HST,36
2012,"Land Rover","Range Rover Sport",HST,39
2012,"Land Rover","Range Rover Sport",SE,16
2012,Lexus,LX570,Platinum,10
2012,Lexus,LX570,Platinum,14
2012,Lexus,LX570,Platinum,20
2012,Lexus,LX570,Platinum,48
2012,Lexus,LX570,Platinum,62
2012,Lexus,RX350,Platinum,13
2012,Lexus,RX350,Platinum,20
2012,Lexus,RX350,Platinum,29
2012,Lexus,RX350,Platinum,47
2012,Lexus,RX350,Platinum,50
2012,Lexus,RX350,"Premier Plus",30
2012,Maserati,GranTurismo,Std,30
2012,Mazda,3,R,75
2012,Mazda,"CX 9",GT,82
2012,Mazda,"CX 9",GTX,9
2012,Mazda,"CX 9",GTX,29
2012,Mazda,"CX 9",GTX,32
2012,"Mercedes Benz","C 200",Avantgarde,20
2012,"Mercedes Benz","C 200",Avantgarde,22
2012,"Mercedes Benz","C 200",Avantgarde,24
2012,"Mercedes Benz","C 200",Avantgarde,27
2012,"Mercedes Benz","C 200",Avantgarde,28
2012,"Mercedes Benz","C 200",Avantgarde,39
2012,"Mercedes Benz","C 200",Avantgarde,107
2012,"Mercedes Benz","C 63 AMG",Std,17
2012,"Mercedes Benz","C 63 AMG",Std,27
2012,"Mercedes Benz","C 63 AMG",Std,82
2012,"Mercedes Benz","C 63 AMG",Std,95
2012,"Mercedes Benz","CLS 63 AMG",Standard,38
2012,"Mercedes Benz","CLS 63 AMG",Standard,81
2012,"Mercedes Benz","CLS 63 AMG",Standard,90
2012,"Mercedes Benz","E 200",Standard,14
2012,"Mercedes Benz","G 55 AMG",Standard,17
2012,"Mercedes Benz","G 55 AMG",Standard,25
2012,"Mercedes Benz","G 55 AMG",Standard,28
2012,"Mercedes Benz","G 55 AMG",Standard,33
2012,"Mercedes Benz","G 55 AMG",Standard,80
2012,"Mercedes Benz","G 55 AMG",Standard,81
2012,"Mercedes Benz","G 55 AMG",Standard,90
2012,"Mercedes Benz","GL 450",Standard,13
2012,"Mercedes Benz","GL 450",Standard,34
2012,"Mercedes Benz","GL 500",Standard,11
2012,"Mercedes Benz","GL 500",Standard,12
2012,"Mercedes Benz","GL 500",Standard,16
2012,"Mercedes Benz","GL 500",Standard,20
2012,"Mercedes Benz","GL 500",Standard,27
2012,"Mercedes Benz","GL 500",Standard,29
2012,"Mercedes Benz","GL 500",Standard,31
2012,"Mercedes Benz","GL 500",Standard,32
2012,"Mercedes Benz","GL 500",Standard,33
2012,"Mercedes Benz","GL 500",Standard,38
2012,"Mercedes Benz","GL 500",Standard,40
2012,"Mercedes Benz","GL 500",Standard,47
2012,"Mercedes Benz","GL 500",Standard,64
2012,"Mercedes Benz","GL 500",Standard,84
2012,"Mercedes Benz","GL 500",Standard,105
2012,"Mercedes Benz","GL 500",Standard,123
2012,"Mercedes Benz","R 300",L,26
2012,"Mercedes Benz","S 350",Standard,33
2012,"Mercedes Benz","S 350",Standard,90
2012,"Mercedes Benz","S 63 AMG",Standard,33
2012,"Mercedes Benz","SLS AMG",Standard,24
2012,"Mercedes Benz","SLS AMG",Standard,106
2012,MINI,Countryman,S,54
2012,MINI,Hatch,S,16
2012,MINI,Hatch,S,40
2012,MINI,Hatch,S,80
2012,MINI,Hatch,S,90
2012,MINI,Hatch,S,106
2012,MINI,Hatch,S,108
2012,MINI,Hatch,Standard,42
2012,MINI,"John Cooper Works",Standard,81
2012,Mitsubishi,L200,Standard,23
2012,Mitsubishi,L200,Standard,91
2012,Mitsubishi,L200,Standard,109
2012,Mitsubishi,Pajero,"GLS Base",63
2012,Mitsubishi,Pajero,"GLS Base",95
2012,Mitsubishi,Pajero,"GLS Base",106
2012,Mitsubishi,Pajero,"GLS Base",109
2012,Mitsubishi,Pajero,"GLS Base",115
